antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'办公'}),frozenset({'服装'}),0.16664113040219092,0.5687913656805929,0.08141393536742243,0.48855846795403185,0.8589414281446457,1.0,-0.013370100772597496,0.8431240079279487,-0.16462169303778867,0.12448260685197128,-0.18606514652285572,0.3158467192446639
frozenset({'办公'}),frozenset({'电子产品'}),0.16664113040219092,0.5657273645558285,0.08100827690520108,0.48612414419949246,0.8592904898301407,1.0,-0.013265170623834532,0.845092507348236,-0.16422547076114302,0.12436786076277104,-0.18330240926858848,0.3146586413843197
frozenset({'办公'}),frozenset({'食品'}),0.16664113040219092,0.5662122614039289,0.08084313849923198,0.48513316192776557,0.8568044088711062,1.0,-0.013511112788699542,0.842524137348329,-0.16704626571823225,0.1239905938429787,-0.18690961560732705,0.31395600857781386
frozenset({'家居'}),frozenset({'服装'}),0.3026822193620048,0.5687913656805929,0.15013219837785702,0.49600600489287566,0.8720350462763703,1.0,-0.022030834540290478,0.8555828809582411,-0.17385349819674562,0.20812918980293343,-0.16879383897912217,0.379977754030628
frozenset({'家居'}),frozenset({'电子产品'}),0.3026822193620048,0.5657273645558285,0.14889979604880943,0.49193440025205715,0.8695609070250496,1.0,-0.022335818208766706,0.8547570149595232,-0.17703474980813014,0.20694617162861229,-0.16992312727302367,0.37756751273041855
frozenset({'家居'}),frozenset({'食品'}),0.3026822193620048,0.5662122614039289,0.14931106430826116,0.4932931462673289,0.8712159377195465,1.0,-0.02207131960345965,0.8560921080908238,-0.17490742565526146,0.20749653326265052,-0.1680986082561911,0.3784973599199157
frozenset({'母婴'}),frozenset({'服装'}),0.16437266864715883,0.5687913656805929,0.08057281639519338,0.490183782123477,0.8617989155600891,1.0,-0.012920938285187658,0.845811920451392,-0.16100900646272656,0.12346598326966782,-0.18229594052815096,0.3159199848556582
frozenset({'汽车用品'}),frozenset({'服装'}),0.15970391490218092,0.5687913656805929,0.07799336150620251,0.4883622392974753,0.8585964358181153,1.0,-0.012844846355546155,0.8428006442044444,-0.16387419202817183,0.11989720432634392,-0.186520213144762,0.3127417257093437
frozenset({'玩具'}),frozenset({'服装'}),0.2429126347709958,0.5687913656805929,0.11957738592564986,0.49226499082017944,0.8654579174758656,1.0,-0.01858922334681591,0.8492789083344249,-0.17035617391551428,0.1727680794467823,-0.1774694863918898,0.3512478269188305
frozenset({'服装'}),frozenset({'电子产品'}),0.5687913656805929,0.5657273645558285,0.2923556344978688,0.5139945015656976,0.9085551340958234,1.0,-0.029425205790723552,0.8935549841374396,-0.18923998827224234,0.3471484751317455,-0.1191253115389572,0.5153864085420876
frozenset({'电子产品'}),frozenset({'服装'}),0.5657273645558285,0.5687913656805929,0.2923556344978688,0.5167783155184776,0.9085551340958236,1.0,-0.029425205790723552,0.8923619286292519,-0.18815603156501712,0.3471484751317455,-0.12062154145918107,0.5153864085420876
